"Espécie","Nome comum","Variedade","Tipo Plantação","Sementeira/Plantação","Poda","Floração","Colheita"
"Prunus domestica","Ameixoeira","RAINHA CLAUDIA CARANGUEJEIRA","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","PRESIDENT","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","STANLEY","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","ANGELENO","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","BLACK BEAUTY","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","BLACK STAR","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","BLACK GOLD","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","BLACK DIAMOND","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","BLACK AMBER","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","BLACK SPLENDOR","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","FORTUNA","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","FRIAR","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","EL DORADO","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","ELEPHANT HEART","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","GOLDEN JAPAN","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","HARRY PITCHON","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","LAETITIA","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","METLEY","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","MIRABELLE DE NANCY","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","QUEEN ROSE","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","RED BEAUT","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","SANTA ROSA","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","SHIRO","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","SUNGOLD","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","WILSON PERFECTION","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus domestica","Ameixoeira","AUTUMN GIANT","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus armeniaca","Damasqueiro","BULIDA","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus armeniaca","Damasqueiro","CANINO","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus armeniaca","Damasqueiro","LIABAUD","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus armeniaca","Damasqueiro","MAILLOT JAUNE","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Prunus armeniaca","Damasqueiro","POLONAIS","Permanente","","Novembro a dezembro","Fevereiro a março","Julho a agosto"
"Malus domestica","Macieira","AKANE","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","BELGOLDEN","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","BRAVO DE ESMOLFE","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","CASA NOVA DE ALCOBAÇA","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","EROVAN","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","FUJI","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","GRANNY SMITH","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","GOLDEN DELICIOUS","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","HI-EARLY","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","JONAGORED","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","LYSGOLDEN","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","MUTSU","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","PORTA DA LOJA","Permanente","","Janeiro","Abril a maio","Novembro a dezembro"
"Malus domestica","Macieira","REINETTE OU CANADA","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","REINETTE OU GRAND FAY","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","RISCADINHA DE PALMELA","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","ROYAL GALA","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","REDCHIEF","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","STARKING","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","SUMMER RED","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","WELL'SPUR DELICIOUS","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","NOIVA","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","OLHO ABERTO","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","CAMOESA ROSA","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","MALÁPIO","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","GRONHO DOCE","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","PÉ DE BOI ","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","PINOVA","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","PARDO LINDO","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","PIPO DE BASTO","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","PRIMA","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","QUERINA","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","VISTA BELLA","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","GOLDEN SMOOTHEE","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","GOLDEN SUPREMA","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","GLOSTER 69","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Malus domestica","Macieira","FREEDOM","Permanente","","Novembro a dezembro","Março a abril","Agosto a setembro"
"Pyrus pyrifolia","Pera Nashi","SNINSEIKI","Permanente","","","",""
"Pyrus pyrifolia","Pera Nashi","KUMOI","Permanente","","","",""
"Pyrus pyrifolia","Pera Nashi","HOSUI","Permanente","","","",""
"Pyrus pyrifolia","Pera Nashi","NIJISSEIKI","Permanente","","","",""
"Daucus carota subsp. Sativus","Cenoura","Carson Hybrid","Temporária","","","","80 dias"
"Daucus carota subsp. Sativus","Cenoura","Red Cored Chantenay","Temporária","","","","80 dias"
"Daucus carota subsp. Sativus","Cenoura","Danvers Half Long","Temporária","","","","80 dias"
"Daucus carota subsp. Sativus","Cenoura","Imperator 58","Temporária","","","","80 dias"
"Daucus carota subsp. Sativus","Cenoura","Sugarsnax Hybrid","Temporária","","","","80 dias"
"Daucus carota subsp. Sativus","Cenoura","Nelson Hybrid","Temporária","","","","80 dias"
"Daucus carota subsp. Sativus","Cenoura","Scarlet Nantes","Temporária","","","","80 dias"
"Lupinus luteus","Tremoço","Amarelo","Temporária","","","",""
"Lupinus albus","Tremoço","Branco","Temporária","","","",""
"Zea mays","Milho","MAS 24.C","Temporária","Abril a junho","","","Julho a setembro"
"Zea mays","Milho","Doce Golden Bantam","Temporária","Abril a junho","","","Julho a setembro"
"Brassica rapa","Nabo greleiro","Senhora Conceição","Temporária","Março a setembro","","","Junho a fevereiro"
"Olea europaea","Oliveira","COBRANÇOSA","Permanente","","","","Outubro a novembro"
"Olea europaea","Oliveira","ARBEQUINA","Permanente","","","","Outubro a novembro"
"Olea europaea","Oliveira","HOJIBLANCA","Permanente","","","","Outubro a novembro"
"Olea europaea","Oliveira","NEGRINHA DO FREIXO","Permanente","","","","Outubro a novembro"
"Olea europaea","Oliveira","PICUAL","Permanente","","","","Outubro a novembro"
"Olea europaea","Oliveira","MAÇANILHA","Permanente","","","","Outubro a novembro"
"Olea europaea","Oliveira","CONSERVA DE ELVAS","Permanente","","","","Outubro a novembro"
"Olea europaea","Oliveira","Galega ","Permanente","","","","Outubro a novembro"
